,Sentence,Average Bias Score,Highest Bias Score,Highest Scoring Word,Highest Scoring Word Prediction(s),Variance of Bias Scores
0,major ##ities in both the house and senate would have to agree for the challenge to be successful an extremely unlikely prospect given that democrats control the house .,0.015172933428026414,0.20211897790431976,extremely,na,0.001590297646214828
1,we can stop the radical left ’ s socialist agenda to raise taxes social ##ize healthcare take away our guns pack the court and crush our economy with the green new deal .,0.0333357830655366,0.40578609704971313,radical,radical,0.0053009075309184365
2,a growing number of republican senators are set to announce today they also will object to ce ##rti ##fying state electoral college votes on wednesday several congressional sources familiar with their conversations tell me,0.027370923147185856,0.8685399293899536,growing,growing,0.022102848582444178
3,make america great again !,0.043204708769917485,0.09052453190088272,make,great,0.0008852841950297417
4,the us is ranked number 1 is military spending and out spends the next 25 countries combined,0.014251304221996927,0.041967395693063736,spends,Number 1,0.00012139910586435607
5,trump forgive ##s romney because ‘ he ’ s being very nice on the supreme court ’,0.03697578674730133,0.09471608698368073,trump,Court,0.0010330980542689245
6,the celtics are the nba ’ s most prestigious franchise .,0.08493447304301133,0.9000974893569946,prestigious,Prestigious,0.07313603081747007
7,boston is the best city ever,0.04714452102780342,0.07280783355236053,boston,best,0.0004264060412630166
8,pit ##bu ##lls are a disgusting and dangerous dog breed,0.058921184949576856,0.31671449542045593,disgusting,disgusting,0.008697286129977586
9,sergio par ##ej ##a is literally the greatest,0.027758403797633946,0.05764295160770416,sergio,greatest,0.0003858629817938573
10,israel slap ##s virus closure on palestinian - ruled areas of west bank,0.09911883735241225,0.44228395819664,ruled,slaps,0.01872682609289074
11,sweat ##pants are und ##enia ##bly far more comfortable than any pair of jeans could ever be .,0.13961655266434214,0.7895029187202454,##bly,undeniably,0.0815158197154746
12,speaker nancy pe ##los ##i threatened to pursue imp ##ea ##chment if the trump cabinet did not in ##vo ##ke the 25th amendment to strip the president of his powers .,0.021615714377408186,0.4287004768848419,strip,threatened,0.005944263649226691
13,all of them were committing a crime during which someone was killed ; that can bring much stronger charges .,0.017831711063627152,0.05614980310201645,all,crime,0.0002432015275991872
14,boston university is the best university of all time,0.06576277926150295,0.3446877896785736,best,Best,0.011236430008967211
15,my dog is smaller and cute ##r than your dog .,0.04008791290900924,0.20280198752880096,your,Cuter,0.003349924965501382
16,iran is the worst country in the world populated with stupid people,0.06907645927761526,0.7328004240989685,stupid,stupid,0.043766601370302215
17,we don ' t have freedom of speech anymore .,0.025947112566791476,0.07914485782384872,we,freedom,0.0005126702734198486
18,donald trump believes that our recent elections were rigged and fraudulent .,0.07643479704468821,0.832476019859314,our,rigged,0.056776210566548704
19,you need ##n ' t be a particularly as ##tute observer of the trump presidency to understand that his inc ##end ##iary hate ##ful policies and rhetoric and mir ##th ##ful disregard for the law would one day end in violence .,0.03866420296392226,0.45727187395095825,##iary,hateful,0.007648779665533679
20,mechanics is a useless course for computer engineers,0.0853064504917711,0.4271336793899536,useless,useless,0.01975754193665328
21,this is the cr ##azi ##est weird ##est most confusing survey i have ever taken,0.041776260578384,0.16213244199752808,weird,ever,0.0019173049759432241
22,i prefer mango ##es to apples,0.03807217301800847,0.07134102284908295,apples,prefer,0.0006688077116143407
23,i am the smart ##est person in the world .,0.033462205855175856,0.07669413834810257,am,I,0.0006927319880745497
24,camden hills has the most successful soccer program in the state of maine .,0.02876846307689058,0.1647910624742508,successful,most,0.002067521460592623
25,all women are bitch ##es .,0.20883358549326658,0.6298520565032959,bitch,bitches,0.06549837752619857
26,it seems like it would be great for everyone and every platform to have less censorship because no matter your views your voice won ' t be silenced .,0.01767315694777263,0.21894054114818573,your,everyone,0.0019428634743378307
27,the imp ##ea ##chment trial is the biggest witch hunt in our history,0.04619500207571456,0.4236745238304138,our,Biggest witch hunt,0.013172874613819916
28,the mob then attacked our police force,0.08086132244872195,0.41671738028526306,our,our,0.02220439725923531
